meta_edible_portion_percent,meta_id,meta_name_en,meta_name_vi,nutrition_per_100g_amino_acids_alanine_mg,nutrition_per_100g_amino_acids_arginine_mg,nutrition_per_100g_amino_acids_aspartic_acid_mg,nutrition_per_100g_amino_acids_cystine_mg,nutrition_per_100g_amino_acids_glutamic_acid_mg,nutrition_per_100g_amino_acids_glycine_mg,nutrition_per_100g_amino_acids_histidine_mg,nutrition_per_100g_amino_acids_isoleucine_mg,nutrition_per_100g_amino_acids_leucine_mg,nutrition_per_100g_amino_acids_lysine_mg,nutrition_per_100g_amino_acids_methionine_mg,nutrition_per_100g_amino_acids_phenylalanine_mg,nutrition_per_100g_amino_acids_proline_mg,nutrition_per_100g_amino_acids_serine_mg,nutrition_per_100g_amino_acids_threonine_mg,nutrition_per_100g_amino_acids_tryptophan_mg,nutrition_per_100g_amino_acids_tyrosine_mg,nutrition_per_100g_amino_acids_valine_mg,nutrition_per_100g_carotenoids_alpha_carotene_mcg,nutrition_per_100g_carotenoids_beta_carotene_mcg,nutrition_per_100g_carotenoids_beta_cryptoxanthin_mcg,nutrition_per_100g_carotenoids_lutein_zeaxanthin_mcg,nutrition_per_100g_carotenoids_lycopene_mg,nutrition_per_100g_energy_kcal,nutrition_per_100g_energy_kj,nutrition_per_100g_isoflavones_daidzein_mg,nutrition_per_100g_isoflavones_genistein_mg,nutrition_per_100g_isoflavones_glycitein_mg,nutrition_per_100g_isoflavones_total_mg,nutrition_per_100g_lipids_total_monounsaturated_fat_g,nutrition_per_100g_lipids_total_polyunsaturated_fat_g,nutrition_per_100g_lipids_total_saturated_fat_g,nutrition_per_100g_lipids_total_trans_fat_g,nutrition_per_100g_macros_ash_g,nutrition_per_100g_macros_carbohydrate_g,nutrition_per_100g_macros_fat_g,nutrition_per_100g_macros_fiber_g,nutrition_per_100g_macros_protein_g,nutrition_per_100g_macros_water_g,nutrition_per_100g_minerals_calcium_mg,nutrition_per_100g_minerals_copper_mcg,nutrition_per_100g_minerals_iron_mg,nutrition_per_100g_minerals_magnesium_mg,nutrition_per_100g_minerals_manganese_mg,nutrition_per_100g_minerals_phosphorus_mg,nutrition_per_100g_minerals_potassium_mg,nutrition_per_100g_minerals_selenium_mcg,nutrition_per_100g_minerals_sodium_mg,nutrition_per_100g_minerals_zinc_mg,nutrition_per_100g_purines_purines_mg,nutrition_per_100g_sugars_fructose_g,nutrition_per_100g_sugars_galactose_g,nutrition_per_100g_sugars_glucose_g,nutrition_per_100g_sugars_lactose_g,nutrition_per_100g_sugars_maltose_g,nutrition_per_100g_sugars_sucrose_g,nutrition_per_100g_sugars_total_sugar_g,nutrition_per_100g_vitamins_folate_mcg,nutrition_per_100g_vitamins_vitamin_a_mcg,nutrition_per_100g_vitamins_vitamin_b12_mcg,nutrition_per_100g_vitamins_vitamin_b1_mg,nutrition_per_100g_vitamins_vitamin_b2_mg,nutrition_per_100g_vitamins_vitamin_b5_mg,nutrition_per_100g_vitamins_vitamin_b6_mg,nutrition_per_100g_vitamins_vitamin_b9_mcg,nutrition_per_100g_vitamins_vitamin_c_mg,nutrition_per_100g_vitamins_vitamin_d_mcg,nutrition_per_100g_vitamins_vitamin_e_mg,nutrition_per_100g_vitamins_vitamin_k_mcg,nutrition_per_100g_vitamins_vitamin_pp_mg
10.0,,,,908,1975,2904,123,3594,871,1140,1514,1931,1503,312,1176,1488,1198,911,323,592,1554,,10,,,,320,1341,0.01,0.02,,0.03,0.11,0.54,0.33,,4.1,51.9,2.0,4.3,23.7,14.0,110,,6.5,,,382,,,,,,,,,,,,,633,0,0,0.59,0.22,1.496,0.357,0,1,,0.39,5,2.3
0.0,"STT: 55, Mã số: 3006","Peas garden and field, seeds, dried",Đậu Hà Lan (Hạt),1080,2188,2896,373,4196,1092,597,1014,1760,1772,251,1132,1014,1080,872,275,711,1159,,70,,,,318,1330,2.42,,,2.42,0.24,0.5,0.16,,2.7,54.1,1.4,6.0,22.2,13.6,57,930,4.4,145,,303,135,0.4,9,4,,,,,,,,,274,0,0,0.77,0.18,1.758,0.174,0,0,,0.09,14.5,3.1
2.0,,,,1671,2410,4361,485,7098,1551,780,1670,2240,1970,680,1800,1989,1851,1600,480,988,1430,,30,,,,400,1674,67.79,72.51,10.88,151.17,4.4,11.26,2.88,,4.5,24.6,18.4,4.5,34.0,14.0,165,300,11.0,236,1.2,690,1504,1.5,2,3.8,,,,,,,,,375,0,0,0.54,0.29,0.793,0.377,0,4,,0.85,47,2.3
2.0,,,,551,1620,1976,133,3564,680,600,950,1460,1160,300,1280,778,1069,740,320,631,930,,10,,,,,,0.02,0.04,,0.06,0.06,0.46,0.12,,3.3,53.8,2.1,3.6,23.2,14.0,160,,6.8,,,514,,,,,,,,,,,,,394,0,0,0.54,0.18,0.78,0.397,0,3,,0.22,19,2.1
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,321,1344,,,,,,,,,3.4,50.0,2.0,4.8,25.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,809,1470,2449,113,3122,758,663,941,1607,2145,458,1259,802,908,736,432,556,989,,30,,,,328,1371,0.01,0.18,,0.19,0.16,0.38,0.35,,2.4,53.1,2.4,4.7,23.4,14.0,64,880,4.8,270,,377,1132,,6,1.1,,,,,,,,,625,0,0,0.72,0.15,1.91,0.382,0,4,,0.51,9,2.4
30.0,3011,"Chestnut, Chinese whole, raw",Hạt Đệ To,,,,,,,,,,,,,,,,,,,,10,,,,638,2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,200,430,852,110,537,184,121,157,259,228,101,190,162,184,167,49,125,220,,,,,,223,933,,,,,0.58,0.29,0.16,,1.7,49.1,1.1,,4.2,44.0,18,363,1.41,84,1.6,96,447,,3,0.87,,,,,,,,,68,0,0,0.16,0.18,0.555,0.41,0,36,,,,0.8
100,,,,324,699,1385,179,873,299,197,255,421,371,0,309,263,299,272,80,203,358,,,,,,363,1517,,,,,0.95,0.47,0.27,,2.7,79.8,1.8,,6.8,8.9,29,590,2.29,137,2.6,155,726,,5,1.41,,,,,,,,,110,0,0,0.26,0.29,0.902,0.666,0,59,,,,1.3
50.0,,Black Seed,Hạt Đen,,,,,,,,,,,,,,,,,,,,,,,,472,1976,,,,,,,,,2.7,35.5,29.0,3.5,17.3,12.0,84,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,
100,3015,"Cashew nut, common",Hạt Đậu,837,2123,1795,393,4506,937,456,789,1472,928,362,951,812,1079,688,287,508,1094,,5,,,,605,2532,,,,,23.8,7.85,7.78,,2.6,28.7,46.3,0.6,18.4,3.4,28,2195,3.6,292,1.66,462,660,19.9,12,5.78,,0.05,0,0.05,0,0,5.81,5.91,25,0,0,0.25,0.34,0.864,0.417,0,1,,0.9,34.1,2.4
15.0,,"Jack fruit, seed, raw",Hạt mít,,,,,,,,,,,,,,,,,,,0,0,0,0,0,166,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,669,2720,2952,249,5070,1287,580,880,1760,990,360,1680,1236,1557,770,300,669,1290,,10,,,,,,0.03,0.24,,0.26,24.43,15.56,6.83,,2.5,15.5,44.5,2.5,27.5,7.5,68,420,2.2,185,1.6,420,421,,4,1.9,,,,,,,,,240,0,0,0.44,0.12,1.767,0.348,0,,,8.33,0,16.0
40.0,3018,Palm fruit fresh,QUẢ CỐ TƯỜI,,,,,,,,,,,,,,,,,,,,,,,,178,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,Hodgsonia fruit,Quả Đái Hái Tươi,,,,,,,,,,,,,,,,,,,,,,,,427,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Sesame oriental seeds, whole, dried black or white","Vừng (Đen, Trắng)",1082,1850,1134,202,4154,1245,300,840,1410,680,600,1410,1245,982,680,360,712,1000,,15,,,,568,2378,,,,,18.76,21.77,6.96,,4.8,17.6,46.4,3.5,20.1,7.6,975,4082,14.55,351,2.46,629,468,5.7,11,7.75,,,,,,,,0.3,97,0,0,0.79,0.25,0.05,0.79,0,0,,0.25,0,4.5
100.0,,"Soybeans flour, defatted",Bột Đậu Tương Đã Loại Béo (Đậu Nành),2215,3647,5911,757,9106,2174,1268,2281,3828,3129,634,2453,2750,2725,2042,683,1778,2346,,35,,,,321,1343,57.47,71.21,7.55,131.19,0.21,0.53,0.14,,4.5,29.0,1.0,2.5,49.0,14.0,247,4067,7.6,290,3.02,602,2384,1.7,20,2.46,,,,,,,,,305,0,0,0.7,0.3,1.995,0.574,0,0,,0.2,4.1,2.0
